open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1666177200000,8.15140000,8.22740000,8.04600000,8.09050000,177836.03000000,1666177499999,1445684.43848400,2920,66332.27000000,539816.00172300,0
1666177500000,8.09310000,8.12250000,8.03890000,8.06400000,107123.54000000,1666177799999,865788.17487700,1964,51183.49000000,414029.38049000,0
1666177800000,8.06400000,8.09840000,8.03190000,8.05770000,114208.80000000,1666178099999,920455.52476500,1886,71874.08000000,579292.04681000,0
1666178100000,8.05800000,8.07000000,7.85810000,7.94340000,643484.54000000,1666178399999,5108710.82071200,7999,316055.16000000,2507364.45990700,0
1666178400000,7.94250000,8.10000000,7.94240000,7.98020000,313857.38000000,1666178699999,2511180.21556700,3879,140273.47000000,1123496.30163200,0
1666178700000,7.97900000,7.99960000,7.79630000,7.84080000,394202.40000000,1666178999999,3101620.86264100,4076,172376.26000000,1354318.06526700,0
1666179000000,7.83710000,7.89890000,7.77260000,7.88090000,290166.23000000,1666179299999,2274957.89169200,4065,126106.54000000,989150.02006200,0
1666179300000,7.88360000,7.93820000,7.87770000,7.90630000,126552.02000000,1666179599999,1000743.11782600,1904,65473.13000000,517798.11758300,0
1666179600000,7.90630000,7.92200000,7.78990000,7.80430000,143043.47000000,1666179899999,1122306.33420900,2862,72953.23000000,572348.85665900,0
1666179900000,7.80370000,7.85000000,7.74000000,7.83470000,230362.75000000,1666180199999,1792710.38760100,3036,137694.21000000,1071026.84514600,0
1666180200000,7.83430000,7.84350000,7.76410000,7.81840000,133197.98000000,1666180499999,1038898.83217000,2182,55920.44000000,436236.91109500,0
1666180500000,7.81700000,7.85880000,7.81400000,7.85420000,114456.77000000,1666180799999,897063.45184200,2120,60195.00000000,471939.24206000,0
1666180800000,7.85060000,7.91940000,7.83580000,7.88640000,165487.52000000,1666181099999,1305934.80782100,2888,67137.23000000,529770.24967600,0
1666181100000,7.88640000,7.89020000,7.76430000,7.76680000,119171.27000000,1666181399999,931764.83922900,2002,45904.15000000,358893.00927600,0
1666181400000,7.76790000,7.83910000,7.75170000,7.80430000,113699.03000000,1666181699999,886857.95024500,2073,58322.69000000,455030.67581400,0
1666181700000,7.80440000,7.86310000,7.76650000,7.79950000,76554.56000000,1666181999999,598278.00224100,1719,43200.38000000,337772.80873900,0
1666182000000,7.79720000,7.82080000,7.58590000,7.66650000,406660.70000000,1666182299999,3115287.91224500,4193,183623.90000000,1405655.53025000,0
1666182300000,7.66680000,7.71370000,7.64000000,7.66370000,177872.66000000,1666182599999,1364401.10959900,2274,92189.47000000,707148.35360300,0
1666182600000,7.66030000,7.71460000,7.65440000,7.69170000,77685.53000000,1666182899999,597129.45749300,1312,49348.29000000,379301.65546100,0
1666182900000,7.69000000,7.69110000,7.53170000,7.58910000,292043.75000000,1666183199999,2211103.79123700,3251,107710.08000000,815385.85596000,0
