,DateTime,Token,TimeFrame,LastPrice,% Change,Avg Num Trade,Avg Volume,Volume/Trade,Volatility
93,2022-10-27 10:00:00,HOTUSDT,15m,0.0,,371.183,75705.42912,203.9571562275212,nan%
94,2022-09-26 04:00:00,HOTUSDT,1h,0.0,,754.383,149970.25166,198.79855678083945,nan%
95,2022-11-06 18:42:13,ZILUSDT,1s,0.03,0.0,0.871,183.59077,210.78159586681974,0.0%
96,2022-11-06 02:19:00,ZILUSDT,1m,0.03,0.0,47.059,10406.02784,221.12726237276613,0.0%
97,2022-11-03 08:40:00,ZILUSDT,5m,0.03,0.0,212.149,46335.38033,218.4096098968178,0.0%
98,2022-10-27 10:00:00,ZILUSDT,15m,0.03,0.0,490.894,108224.55737000001,220.46420891271845,0.0%
99,2022-09-26 04:00:00,ZILUSDT,1h,0.03,0.0,1262.214,297343.39324,235.57288481984833,0.0%
100,2022-11-06 18:42:15,ZRXUSDT,1s,0.26,0.0,0.315,39.025690000000004,123.89107936507938,nan%
101,2022-11-06 02:19:00,ZRXUSDT,1m,0.26,-3.8461538461538494,7.596,1153.2092999999998,151.81796998420216,0.0%
102,2022-11-03 08:40:00,ZRXUSDT,5m,0.26,0.0,52.828,8247.36666,156.11733663966078,1.55%
103,2022-10-27 10:00:00,ZRXUSDT,15m,0.26,0.0,123.99,20180.05284,162.7554870554077,0.0%
104,2022-09-26 04:00:00,ZRXUSDT,1h,0.26,0.0,275.87,45499.86386,164.93226468989016,1.86%
105,2022-11-06 18:42:17,BATUSDT,1s,0.32,0.0,0.192,62.92164999999999,327.7169270833333,nan%
106,2022-11-06 02:19:00,BATUSDT,1m,0.32,-3.1250000000000027,11.328,2435.8604100000002,215.03005031779665,0.0%
107,2022-11-03 08:40:00,BATUSDT,5m,0.32,0.0,75.985,16619.710469999998,218.72357004671971,0.52%
108,2022-10-27 10:00:00,BATUSDT,15m,0.32,9.375000000000009,293.612,61070.83036,207.99841409751645,3.83%
109,2022-09-26 04:00:00,BATUSDT,1h,0.31,3.2258064516129057,558.167,112512.85285999998,201.57560884108156,1.88%
110,2022-11-06 18:42:19,XMRUSDT,1s,155.2,0.12886597938143599,0.395,151.96517,384.7219493670886,nan%
111,2022-11-06 02:19:00,XMRUSDT,1m,155.1,-1.805286911669898,15.574,6058.63114,389.02216129446515,0.22%
112,2022-11-03 08:40:00,XMRUSDT,5m,154.6,3.8809831824062098,87.54,31412.74265,358.83873257939223,1.86%
113,2022-10-27 10:00:00,XMRUSDT,15m,154.3,5.3143227478937245,255.597,93087.82131,364.1976287280367,0.9%
114,2022-09-26 04:00:00,XMRUSDT,1h,154.3,8.165910563836697,967.328,377543.69039,390.2954224316881,0.53%
115,2022-11-06 18:42:21,ZECUSDT,1s,50.4,0.19841269841270123,0.322,62.356950000000005,193.65512422360248,nan%
116,2022-11-06 02:20:00,ZECUSDT,1m,50.4,-4.9603174603174605,8.909,2624.97597,294.64316646088224,0.4%
117,2022-11-03 08:40:00,ZECUSDT,5m,50.1,-0.19960079840319644,51.191,14818.41153,289.472984118302,1.7%
118,2022-10-27 10:00:00,ZECUSDT,15m,50.1,-8.582834331337319,141.724,40762.71111,287.62038264514126,1.42%
119,2022-09-26 04:00:00,ZECUSDT,1h,50.1,-14.97005988023952,427.919,119492.95522,279.2419949102517,2.47%
120,2022-11-06 18:42:23,IOSTUSDT,1s,0.01,0.0,0.462,70.41516,152.41376623376624,nan%
121,2022-11-06 02:20:00,IOSTUSDT,1m,0.01,0.0,9.665,1758.99494,181.99637247801348,0.0%
122,2022-11-03 08:40:00,IOSTUSDT,5m,0.01,0.0,51.074,9748.42726,190.86868582840586,0.0%
123,2022-10-27 10:00:00,IOSTUSDT,15m,0.01,0.0,115.337,20771.70995,180.09580576918074,0.0%
124,2022-09-26 04:00:00,IOSTUSDT,1h,0.01,0.0,288.246,57535.98069,199.60721290147998,0.0%
125,2022-11-06 18:42:25,CELRUSDT,1s,0.02,0.0,0.235,32.61561,138.78982978723403,nan%
126,2022-11-06 02:20:00,CELRUSDT,1m,0.02,0.0,10.265,2299.39217,224.0031339503166,0.0%
127,2022-11-03 08:40:00,CELRUSDT,5m,0.02,50.0,89.258,19756.625600000003,221.3429115597482,7.75%
128,2022-10-27 10:00:00,CELRUSDT,15m,0.02,0.0,169.001,34523.73368,204.28123904592277,0.0%
129,2022-09-26 04:00:00,CELRUSDT,1h,0.02,50.0,388.305,70699.11555,182.07109244022095,15.63%
130,2022-11-06 18:42:27,DASHUSDT,1s,43.72,0.11436413540712982,0.458,89.06154999999998,194.45753275109166,nan%
131,2022-11-06 02:20:00,DASHUSDT,1m,43.72,-2.6075022872827094,16.176,2945.11788,182.0671290801187,0.47%
132,2022-11-03 08:40:00,DASHUSDT,5m,43.6,4.747706422018349,93.277,14842.37273,159.12146327604876,2.21%
133,2022-10-27 10:00:00,DASHUSDT,15m,43.6,3.1651376146789048,225.262,36563.791,162.31672896449467,0.76%
134,2022-09-26 04:00:00,DASHUSDT,1h,43.34,5.676049838486389,622.361,112775.45714999999,181.2058550423307,0.35%
135,2022-11-06 18:42:29,OMGUSDT,1s,1.67,0.0,0.157,21.787950000000002,138.7767515923567,nan%
136,2022-11-06 02:20:00,OMGUSDT,1m,1.67,-5.988023952095814,8.947,1379.3728999999998,154.17155471107634,0.56%
